,name,osm_id,access,access:conditional,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,air_conditioning,alt_name,amenity,artist_name,beds,building,building:colour,building:levels,building:levels:underground,building:material,building:part,building:units,capacity,check_date,check_date:opening_hours,club,drinking_water,ele,emergency,fee,fountain,gnis:feature_id,healthcare,healthcare:speciality,height,internet_access,internet_access:fee,layer,leisure,lit,man_made,maxheight,maxstay,name:en,name:etymology:wikidata,name:etymology:wikipedia,natural,note,official_name,old_name,opening_hours,operator,operator:type,orientation,parking,phone,ref:isil,roof:angle,roof:colour,roof:levels,roof:material,roof:shape,smoking,source,sport,start_date,surface,toilets:wheelchair,tourism,tower:construction,tower:type,veterinary,website,wheelchair,wikidata,wikipedia,building:flats,office,type,name_imogen,n_postdocs,comment
32,Cereal Crops Research Unit,3979952,,,Madison,,NA,502,,WI,Walnut street,NA,NA,,NA,NA,university,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,,,NA,,NA,,research,multipolygon,NA,NA,NA
33,Chadbourne Residence Hall,39201164,NA,NA,Madison,US,NA,420,NA,WI,North Park Street,NA,NA,none,NA,NA,dormitory,NA,11,NA,NA,NA,1-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Chamberlin House,37862319,NA,NA,Madison,US,NA,665,NA,WI,Elm Drive,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Chazen Museum of Art,295708135,NA,NA,Madison,US,NA,750,NA,WI,University Avenue,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,3/10/23,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Fr 10:00-19:00; Sa,Su 11:00-17:00; PH off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tanya Buckinham: map.wisc.edu,NA,NA,NA,NA,museum,NA,NA,NA,https://chazen.wisc.edu/,NA,Q3666871,en:Chazen Museum of Art,NA,NA,NA,NA,NA,NA
36,Chemistry Building,153060482,NA,NA,Madison,NA,NA,1101,53706,WI,University Avenue,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://chem.wisc.edu/,NA,NA,NA,NA,NA,NA,CHEMISTRY BUILDING,43,
37,Cole Hall,37970663,NA,NA,Madison,US,NA,625,NA,WI,Elm Drive,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Computer Sciences and Statistics,153660099,NA,NA,Madison,NA,NA,1210,53706,WI,West Dayton Street,NA,NA,none,NA,NA,university,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tanya Buckinham: map.wisc.edu,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cs.wisc.edu/,NA,NA,NA,NA,NA,NA,COMPUTER SCIENCES,4,
39,Conrad A. Elvehjem Building,18849422,,,Madison,US,NA,800,,WI,University Avenue,NA,NA,,NA,NA,university,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,no,NA,1842408,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,museum,NA,NA,,,NA,,NA,,,multipolygon,NA,NA,NA
40,Dairy Cattle Instruction & Research Center,38263360,NA,NA,Madison,NA,NA,1815,NA,WI,Linden Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Dejope Residence Hall,173709889,NA,NA,Madison,US,NA,640,53706-1134,WI,Elm Drive,NA,NA,none,NA,NA,dormitory,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
